   W         E8-(pi0_p)
 (MeV)      Re         Im
 1080.0   -0.000000  -0.000000
 1085.0    0.000000   0.000000
 1090.0    0.000000   0.000000
 1095.0    0.000000   0.000000
 1100.0   -0.000000  -0.000000
 1105.0    0.000000   0.000000
 1110.0   -0.000000  -0.000000
 1115.0   -0.000000  -0.000000
 1120.0    0.000000   0.000000
 1125.0    0.000000   0.000000
 1130.0    0.000000   0.000000
 1135.0   -0.000000  -0.000000
 1140.0    0.000000  -0.000000
 1145.0    0.000000   0.000000
 1150.0    0.000000  -0.000000
 1155.0    0.000000  -0.000000
 1160.0    0.000000  -0.000000
 1165.0    0.000000  -0.000000
 1170.0    0.000000  -0.000000
 1175.0    0.000000  -0.000000
 1180.0    0.000000  -0.000000
 1185.0    0.000000  -0.000000
 1190.0    0.000000  -0.000000
 1195.0    0.000000  -0.000000
 1200.0    0.000000  -0.000000
 1205.0    0.000000  -0.000000
 1210.0    0.000000  -0.000000
 1215.0    0.000000  -0.000000
 1220.0    0.000000  -0.000000
 1225.0    0.000000  -0.000000
 1230.0    0.000000  -0.000000
 1235.0    0.000000  -0.000000
 1240.0    0.000000  -0.000000
 1245.0    0.000000  -0.000000
 1250.0    0.000000  -0.000000
 1255.0    0.000000  -0.000000
 1260.0    0.000000   0.000000
 1265.0    0.000001   0.000000
 1270.0    0.000000   0.000000
 1275.0   -0.000000  -0.000000
 1280.0    0.000000   0.000000
 1285.0    0.000000   0.000000
 1290.0    0.000000  -0.000000
 1295.0    0.000000   0.000000
 1300.0    0.000000   0.000000
 1305.0   -0.000000  -0.000000
 1310.0   -0.000000  -0.000000
 1315.0   -0.000000  -0.000000
 1320.0   -0.000000  -0.000000
 1325.0    0.000000  -0.000000
 1330.0    0.000000  -0.000000
 1335.0    0.000000  -0.000000
 1340.0    0.000000  -0.000000
 1345.0   -0.000000  -0.000000
 1350.0    0.000002   0.000001
 1355.0    0.000000  -0.000000
 1360.0    0.000000  -0.000000
 1365.0    0.000000  -0.000000
 1370.0    0.000000  -0.000000
 1375.0    0.000000  -0.000000
 1380.0    0.000000  -0.000000
 1385.0    0.000000  -0.000001
 1390.0    0.000000  -0.000001
 1395.0    0.000000  -0.000001
 1400.0    0.000000  -0.000001
 1405.0    0.000000  -0.000001
 1410.0    0.000000  -0.000001
 1415.0    0.000000  -0.000001
 1420.0    0.000000  -0.000001
 1425.0    0.000000  -0.000001
 1430.0    0.000001  -0.000001
 1435.0    0.000002  -0.000001
 1440.0    0.000000  -0.000002
 1445.0    0.000001  -0.000002
 1450.0    0.000001  -0.000002
 1455.0    0.000001  -0.000002
 1460.0    0.000001  -0.000002
 1465.0    0.000001  -0.000003
 1470.0    0.000001  -0.000003
 1475.0    0.000001  -0.000003
 1480.0    0.000001  -0.000003
 1485.0    0.000001  -0.000004
 1490.0    0.000001  -0.000004
 1495.0    0.000001  -0.000004
 1500.0    0.000001  -0.000005
 1505.0    0.000001  -0.000005
 1510.0    0.000002  -0.000006
 1515.0    0.000002  -0.000006
 1520.0    0.000002  -0.000007
 1525.0    0.000002  -0.000007
 1530.0    0.000002  -0.000008
 1535.0    0.000002  -0.000008
 1540.0    0.000002  -0.000009
 1545.0    0.000002  -0.000010
 1550.0    0.000003  -0.000010
 1555.0    0.000003  -0.000011
 1560.0    0.000003  -0.000012
 1565.0    0.000003  -0.000013
 1570.0    0.000003  -0.000014
 1575.0    0.000004  -0.000014
 1580.0    0.000004  -0.000015
 1585.0    0.000004  -0.000017
 1590.0    0.000004  -0.000018
 1595.0    0.000004  -0.000019
 1600.0    0.000005  -0.000020
 1605.0    0.000005  -0.000021
 1610.0    0.000005  -0.000023
 1615.0    0.000006  -0.000024
 1620.0    0.000006  -0.000026
 1625.0    0.000006  -0.000027
 1630.0    0.000007  -0.000029
 1635.0    0.000007  -0.000030
 1640.0    0.000008  -0.000032
 1645.0    0.000008  -0.000034
 1650.0    0.000008  -0.000036
 1655.0    0.000009  -0.000038
 1660.0    0.000009  -0.000040
 1665.0    0.000010  -0.000043
 1670.0    0.000010  -0.000045
 1675.0    0.000011  -0.000047
 1680.0    0.000012  -0.000050
 1685.0    0.000012  -0.000053
 1690.0    0.000013  -0.000055
 1695.0    0.000014  -0.000058
 1700.0    0.000014  -0.000061
 1705.0    0.000015  -0.000064
 1710.0    0.000016  -0.000068
 1715.0    0.000017  -0.000071
 1720.0    0.000018  -0.000075
 1725.0    0.000018  -0.000078
 1730.0    0.000019  -0.000082
 1735.0    0.000020  -0.000086
 1740.0    0.000021  -0.000090
 1745.0    0.000023  -0.000094
 1750.0    0.000024  -0.000099
 1755.0    0.000025  -0.000103
 1760.0    0.000026  -0.000108
 1765.0    0.000027  -0.000113
 1770.0    0.000029  -0.000118
 1775.0    0.000030  -0.000123
 1780.0    0.000032  -0.000128
 1785.0    0.000033  -0.000134
 1790.0    0.000035  -0.000140
 1795.0    0.000037  -0.000145
 1800.0    0.000038  -0.000152
 1805.0    0.000040  -0.000158
 1810.0    0.000042  -0.000164
 1815.0    0.000044  -0.000171
 1820.0    0.000046  -0.000178
 1825.0    0.000049  -0.000185
 1830.0    0.000051  -0.000192
 1835.0    0.000053  -0.000200
 1840.0    0.000056  -0.000208
 1845.0    0.000059  -0.000215
 1850.0    0.000061  -0.000224
 1855.0    0.000064  -0.000232
 1860.0    0.000067  -0.000241
 1865.0    0.000070  -0.000250
 1870.0    0.000073  -0.000259
 1875.0    0.000077  -0.000268
 1880.0    0.000080  -0.000278
 1885.0    0.000084  -0.000287
 1890.0    0.000088  -0.000297
 1895.0    0.000092  -0.000308
 1900.0    0.000096  -0.000320
 1905.0    0.000100  -0.000329
 1910.0    0.000104  -0.000340
 1915.0    0.000109  -0.000351
 1920.0    0.000114  -0.000363
 1925.0    0.000119  -0.000375
 1930.0    0.000124  -0.000387
 1935.0    0.000129  -0.000399
 1940.0    0.000135  -0.000412
 1945.0    0.000141  -0.000425
 1950.0    0.000147  -0.000438
 1955.0    0.000153  -0.000451
 1960.0    0.000159  -0.000465
 1965.0    0.000166  -0.000479
 1970.0    0.000173  -0.000493
 1975.0    0.000180  -0.000508
 1980.0    0.000187  -0.000523
 1985.0    0.000195  -0.000538
 1990.0    0.000202  -0.000553
 1995.0    0.000210  -0.000569
 2000.0    0.000220  -0.000584
 2005.0    0.000228  -0.000601
