   W         M8+(pi0_p)
 (MeV)      Re         Im
 1080.0   -0.000000  -0.000000
 1085.0    0.000000   0.000000
 1090.0    0.000000   0.000000
 1095.0    0.000000   0.000000
 1100.0   -0.000000  -0.000000
 1105.0    0.000000   0.000000
 1110.0   -0.000000  -0.000000
 1115.0   -0.000000   0.000000
 1120.0   -0.000000   0.000000
 1125.0   -0.000000   0.000000
 1130.0   -0.000000   0.000000
 1135.0   -0.000000   0.000000
 1140.0   -0.000000   0.000000
 1145.0   -0.000000   0.000000
 1150.0   -0.000000   0.000000
 1155.0   -0.000000   0.000000
 1160.0   -0.000000   0.000000
 1165.0   -0.000000   0.000000
 1170.0   -0.000000   0.000000
 1175.0   -0.000000   0.000000
 1180.0   -0.000000   0.000000
 1185.0   -0.000000   0.000000
 1190.0   -0.000000   0.000000
 1195.0   -0.000000   0.000000
 1200.0   -0.000000   0.000000
 1205.0   -0.000000   0.000000
 1210.0   -0.000000   0.000000
 1215.0   -0.000000   0.000000
 1220.0   -0.000000   0.000000
 1225.0   -0.000000   0.000000
 1230.0   -0.000000   0.000000
 1235.0   -0.000000   0.000000
 1240.0   -0.000000   0.000000
 1245.0   -0.000000   0.000000
 1250.0   -0.000000   0.000000
 1255.0   -0.000000   0.000000
 1260.0   -0.000000   0.000000
 1265.0    0.000001   0.000000
 1270.0   -0.000000   0.000000
 1275.0   -0.000001  -0.000000
 1280.0    0.000000   0.000000
 1285.0   -0.000000   0.000000
 1290.0   -0.000000   0.000000
 1295.0   -0.000000   0.000000
 1300.0    0.000000   0.000000
 1305.0   -0.000001   0.000000
 1310.0   -0.000000   0.000000
 1315.0   -0.000000   0.000000
 1320.0   -0.000000  -0.000000
 1325.0   -0.000000   0.000000
 1330.0   -0.000000   0.000000
 1335.0   -0.000001   0.000000
 1340.0   -0.000001   0.000000
 1345.0   -0.000001   0.000000
 1350.0    0.000003   0.000001
 1355.0   -0.000000   0.000001
 1360.0   -0.000000   0.000001
 1365.0   -0.000000   0.000001
 1370.0   -0.000001   0.000001
 1375.0   -0.000001   0.000001
 1380.0   -0.000001   0.000001
 1385.0   -0.000001   0.000002
 1390.0   -0.000001   0.000001
 1395.0   -0.000001   0.000002
 1400.0   -0.000001   0.000002
 1405.0   -0.000001   0.000002
 1410.0   -0.000001   0.000002
 1415.0   -0.000001   0.000003
 1420.0   -0.000001   0.000003
 1425.0   -0.000001   0.000003
 1430.0   -0.000001   0.000004
 1435.0    0.000003   0.000004
 1440.0   -0.000002   0.000004
 1445.0   -0.000002   0.000005
 1450.0   -0.000002   0.000006
 1455.0   -0.000002   0.000006
 1460.0   -0.000002   0.000007
 1465.0   -0.000002   0.000007
 1470.0   -0.000002   0.000008
 1475.0   -0.000002   0.000009
 1480.0   -0.000002   0.000010
 1485.0   -0.000002   0.000011
 1490.0   -0.000002   0.000012
 1495.0   -0.000002   0.000013
 1500.0   -0.000002   0.000014
 1505.0   -0.000002   0.000017
 1510.0   -0.000002   0.000017
 1515.0   -0.000002   0.000019
 1520.0   -0.000002   0.000020
 1525.0   -0.000002   0.000022
 1530.0   -0.000002   0.000024
 1535.0   -0.000002   0.000026
 1540.0   -0.000002   0.000028
 1545.0   -0.000002   0.000030
 1550.0   -0.000002   0.000033
 1555.0   -0.000002   0.000035
 1560.0   -0.000001   0.000038
 1565.0   -0.000001   0.000041
 1570.0   -0.000001   0.000044
 1575.0   -0.000001   0.000048
 1580.0   -0.000001   0.000051
 1585.0   -0.000001   0.000055
 1590.0   -0.000001   0.000059
 1595.0   -0.000001   0.000063
 1600.0   -0.000001   0.000068
 1605.0    0.000001   0.000072
 1610.0    0.000000   0.000077
 1615.0    0.000000   0.000083
 1620.0    0.000001   0.000088
 1625.0    0.000001   0.000094
 1630.0    0.000001   0.000101
 1635.0    0.000001   0.000107
 1640.0    0.000001   0.000114
 1645.0    0.000002   0.000121
 1650.0    0.000002   0.000129
 1655.0    0.000002   0.000137
 1660.0    0.000002   0.000146
 1665.0    0.000003   0.000155
 1670.0    0.000003   0.000164
 1675.0    0.000003   0.000174
 1680.0    0.000004   0.000184
 1685.0    0.000004   0.000195
 1690.0    0.000004   0.000206
 1695.0    0.000004   0.000218
 1700.0    0.000005   0.000230
 1705.0    0.000005   0.000243
 1710.0    0.000005   0.000256
 1715.0    0.000005   0.000270
 1720.0    0.000005   0.000285
 1725.0    0.000006   0.000300
 1730.0    0.000006   0.000316
 1735.0    0.000006   0.000333
 1740.0    0.000006   0.000350
 1745.0    0.000006   0.000368
 1750.0    0.000006   0.000387
 1755.0    0.000006   0.000405
 1760.0    0.000005   0.000426
 1765.0    0.000005   0.000447
 1770.0    0.000005   0.000468
 1775.0    0.000004   0.000491
 1780.0    0.000003   0.000514
 1785.0    0.000003   0.000538
 1790.0    0.000002   0.000563
 1795.0    0.000001   0.000589
 1800.0   -0.000000   0.000616
 1805.0   -0.000001   0.000644
 1810.0   -0.000003   0.000673
 1815.0   -0.000004   0.000702
 1820.0   -0.000006   0.000733
 1825.0   -0.000008   0.000765
 1830.0   -0.000010   0.000798
 1835.0   -0.000013   0.000831
 1840.0   -0.000015   0.000866
 1845.0   -0.000018   0.000902
 1850.0   -0.000021   0.000939
 1855.0   -0.000025   0.000977
 1860.0   -0.000029   0.001017
 1865.0   -0.000033   0.001057
 1870.0   -0.000037   0.001099
 1875.0   -0.000042   0.001142
 1880.0   -0.000047   0.001186
 1885.0   -0.000053   0.001231
 1890.0   -0.000059   0.001278
 1895.0   -0.000065   0.001325
 1900.0   -0.000063   0.001391
 1905.0   -0.000079   0.001425
 1910.0   -0.000087   0.001476
 1915.0   -0.000095   0.001529
 1920.0   -0.000104   0.001584
 1925.0   -0.000114   0.001639
 1930.0   -0.000124   0.001696
 1935.0   -0.000135   0.001755
 1940.0   -0.000146   0.001814
 1945.0   -0.000158   0.001875
 1950.0   -0.000171   0.001938
 1955.0   -0.000184   0.002002
 1960.0   -0.000198   0.002067
 1965.0   -0.000213   0.002134
 1970.0   -0.000229   0.002202
 1975.0   -0.000246   0.002271
 1980.0   -0.000263   0.002342
 1985.0   -0.000282   0.002415
 1990.0   -0.000301   0.002488
 1995.0   -0.000321   0.002564
 2000.0   -0.000344   0.002640
 2005.0   -0.000373   0.002704
