   W         E6+(pi0_p)
 (MeV)      Re         Im
 1080.0    0.000000   0.000000
 1085.0    0.000000   0.000000
 1090.0    0.000000   0.000000
 1095.0    0.000000   0.000000
 1100.0    0.000000   0.000000
 1105.0   -0.000000   0.000000
 1110.0    0.000000   0.000000
 1115.0   -0.000000   0.000000
 1120.0    0.000000   0.000000
 1125.0    0.000000   0.000000
 1130.0    0.000000   0.000000
 1135.0    0.000000   0.000000
 1140.0    0.000000   0.000000
 1145.0    0.000000   0.000000
 1150.0    0.000000   0.000000
 1155.0    0.000000   0.000000
 1160.0    0.000000   0.000000
 1165.0    0.000000   0.000000
 1170.0    0.000000   0.000000
 1175.0    0.000000   0.000000
 1180.0    0.000000   0.000000
 1185.0    0.000000   0.000000
 1190.0    0.000000   0.000000
 1195.0    0.000000   0.000000
 1200.0    0.000000   0.000000
 1205.0    0.000000   0.000000
 1210.0    0.000000   0.000000
 1215.0    0.000000   0.000000
 1220.0   -0.000000   0.000000
 1225.0   -0.000000   0.000000
 1230.0   -0.000000   0.000000
 1235.0   -0.000000   0.000000
 1240.0   -0.000000   0.000000
 1245.0   -0.000000   0.000000
 1250.0   -0.000000   0.000000
 1255.0   -0.000000   0.000000
 1260.0    0.000000   0.000000
 1265.0    0.000001   0.000001
 1270.0   -0.000000   0.000000
 1275.0   -0.000001  -0.000000
 1280.0    0.000000   0.000000
 1285.0   -0.000000   0.000000
 1290.0    0.000000   0.000001
 1295.0    0.000000   0.000001
 1300.0    0.000000   0.000001
 1305.0   -0.000000   0.000000
 1310.0   -0.000000   0.000001
 1315.0   -0.000000   0.000001
 1320.0    0.000000   0.000001
 1325.0   -0.000000   0.000001
 1330.0   -0.000000   0.000001
 1335.0   -0.000000   0.000001
 1340.0   -0.000000   0.000001
 1345.0   -0.000000   0.000001
 1350.0    0.000000   0.000002
 1355.0   -0.000000   0.000002
 1360.0   -0.000000   0.000002
 1365.0   -0.000000   0.000002
 1370.0   -0.000001   0.000002
 1375.0   -0.000001   0.000002
 1380.0   -0.000001   0.000003
 1385.0   -0.000001   0.000002
 1390.0   -0.000000   0.000003
 1395.0   -0.000001   0.000004
 1400.0   -0.000001   0.000004
 1405.0   -0.000001   0.000004
 1410.0   -0.000001   0.000005
 1415.0   -0.000001   0.000005
 1420.0   -0.000001   0.000005
 1425.0   -0.000001   0.000006
 1430.0   -0.000001   0.000006
 1435.0   -0.000002   0.000006
 1440.0   -0.000001   0.000007
 1445.0   -0.000002   0.000008
 1450.0   -0.000002   0.000008
 1455.0   -0.000002   0.000009
 1460.0   -0.000002   0.000010
 1465.0   -0.000002   0.000010
 1470.0   -0.000002   0.000011
 1475.0   -0.000002   0.000012
 1480.0   -0.000003   0.000013
 1485.0   -0.000003   0.000014
 1490.0   -0.000003   0.000015
 1495.0   -0.000003   0.000015
 1500.0   -0.000003   0.000017
 1505.0   -0.000005   0.000017
 1510.0   -0.000004   0.000018
 1515.0   -0.000004   0.000020
 1520.0   -0.000005   0.000021
 1525.0   -0.000005   0.000022
 1530.0   -0.000005   0.000023
 1535.0   -0.000005   0.000025
 1540.0   -0.000006   0.000026
 1545.0   -0.000006   0.000028
 1550.0   -0.000006   0.000029
 1555.0   -0.000007   0.000031
 1560.0   -0.000007   0.000033
 1565.0   -0.000008   0.000034
 1570.0   -0.000008   0.000036
 1575.0   -0.000009   0.000038
 1580.0   -0.000009   0.000040
 1585.0   -0.000010   0.000042
 1590.0   -0.000010   0.000044
 1595.0   -0.000011   0.000046
 1600.0   -0.000011   0.000048
 1605.0   -0.000012   0.000050
 1610.0   -0.000013   0.000053
 1615.0   -0.000013   0.000055
 1620.0   -0.000014   0.000058
 1625.0   -0.000015   0.000060
 1630.0   -0.000016   0.000063
 1635.0   -0.000017   0.000066
 1640.0   -0.000017   0.000068
 1645.0   -0.000018   0.000071
 1650.0   -0.000019   0.000074
 1655.0   -0.000020   0.000077
 1660.0   -0.000021   0.000080
 1665.0   -0.000023   0.000083
 1670.0   -0.000024   0.000086
 1675.0   -0.000025   0.000090
 1680.0   -0.000026   0.000093
 1685.0   -0.000028   0.000097
 1690.0   -0.000029   0.000100
 1695.0   -0.000030   0.000104
 1700.0   -0.000032   0.000107
 1705.0   -0.000034   0.000111
 1710.0   -0.000035   0.000115
 1715.0   -0.000037   0.000118
 1720.0   -0.000039   0.000122
 1725.0   -0.000041   0.000126
 1730.0   -0.000043   0.000130
 1735.0   -0.000045   0.000134
 1740.0   -0.000047   0.000138
 1745.0   -0.000050   0.000142
 1750.0   -0.000052   0.000146
 1755.0   -0.000054   0.000151
 1760.0   -0.000057   0.000155
 1765.0   -0.000060   0.000159
 1770.0   -0.000062   0.000163
 1775.0   -0.000065   0.000167
 1780.0   -0.000068   0.000172
 1785.0   -0.000071   0.000176
 1790.0   -0.000075   0.000180
 1795.0   -0.000078   0.000184
 1800.0   -0.000081   0.000189
 1805.0   -0.000085   0.000193
 1810.0   -0.000089   0.000197
 1815.0   -0.000093   0.000201
 1820.0   -0.000097   0.000205
 1825.0   -0.000101   0.000209
 1830.0   -0.000105   0.000213
 1835.0   -0.000109   0.000217
 1840.0   -0.000114   0.000221
 1845.0   -0.000119   0.000225
 1850.0   -0.000124   0.000229
 1855.0   -0.000129   0.000232
 1860.0   -0.000134   0.000236
 1865.0   -0.000139   0.000239
 1870.0   -0.000144   0.000243
 1875.0   -0.000150   0.000246
 1880.0   -0.000156   0.000249
 1885.0   -0.000162   0.000252
 1890.0   -0.000168   0.000255
 1895.0   -0.000174   0.000257
 1900.0   -0.000179   0.000255
 1905.0   -0.000187   0.000262
 1910.0   -0.000193   0.000264
 1915.0   -0.000200   0.000265
 1920.0   -0.000207   0.000267
 1925.0   -0.000214   0.000268
 1930.0   -0.000221   0.000269
 1935.0   -0.000228   0.000270
 1940.0   -0.000236   0.000271
 1945.0   -0.000244   0.000271
 1950.0   -0.000251   0.000271
 1955.0   -0.000259   0.000270
 1960.0   -0.000267   0.000270
 1965.0   -0.000275   0.000269
 1970.0   -0.000283   0.000267
 1975.0   -0.000292   0.000265
 1980.0   -0.000300   0.000263
 1985.0   -0.000309   0.000261
 1990.0   -0.000317   0.000258
 1995.0   -0.000326   0.000254
 2000.0   -0.000334   0.000251
 2005.0   -0.000343   0.000244
