   W         E7+(pi0_p)
 (MeV)      Re         Im
 1080.0    0.000000   0.000000
 1085.0   -0.000000  -0.000000
 1090.0   -0.000000  -0.000000
 1095.0   -0.000000  -0.000000
 1100.0    0.000000   0.000000
 1105.0   -0.000000  -0.000000
 1110.0    0.000000   0.000000
 1115.0    0.000000   0.000000
 1120.0    0.000000  -0.000000
 1125.0   -0.000000  -0.000000
 1130.0   -0.000000  -0.000000
 1135.0    0.000000   0.000000
 1140.0    0.000000   0.000000
 1145.0   -0.000000  -0.000000
 1150.0   -0.000000  -0.000000
 1155.0   -0.000000  -0.000000
 1160.0    0.000000   0.000000
 1165.0    0.000000   0.000000
 1170.0    0.000000   0.000000
 1175.0    0.000000   0.000000
 1180.0    0.000000   0.000000
 1185.0   -0.000000  -0.000000
 1190.0   -0.000000  -0.000000
 1195.0   -0.000000  -0.000000
 1200.0   -0.000000   0.000000
 1205.0   -0.000000   0.000000
 1210.0   -0.000000   0.000000
 1215.0   -0.000000   0.000000
 1220.0   -0.000000   0.000000
 1225.0   -0.000000   0.000000
 1230.0   -0.000000   0.000000
 1235.0   -0.000000   0.000000
 1240.0   -0.000000   0.000000
 1245.0   -0.000000   0.000000
 1250.0   -0.000000   0.000000
 1255.0   -0.000000   0.000000
 1260.0   -0.000000  -0.000000
 1265.0   -0.000001  -0.000000
 1270.0   -0.000000   0.000000
 1275.0    0.000000   0.000000
 1280.0   -0.000000  -0.000000
 1285.0   -0.000000  -0.000000
 1290.0   -0.000000  -0.000000
 1295.0   -0.000000  -0.000000
 1300.0   -0.000000  -0.000000
 1305.0    0.000000   0.000000
 1310.0    0.000000   0.000000
 1315.0    0.000000   0.000000
 1320.0    0.000000   0.000000
 1325.0    0.000000   0.000000
 1330.0    0.000000   0.000000
 1335.0    0.000000   0.000000
 1340.0    0.000000   0.000000
 1345.0    0.000000   0.000000
 1350.0   -0.000002  -0.000001
 1355.0   -0.000000   0.000000
 1360.0   -0.000000   0.000000
 1365.0   -0.000000   0.000000
 1370.0   -0.000000   0.000000
 1375.0   -0.000000   0.000000
 1380.0   -0.000000   0.000000
 1385.0   -0.000000   0.000000
 1390.0   -0.000000   0.000000
 1395.0   -0.000000   0.000000
 1400.0   -0.000000   0.000000
 1405.0   -0.000000   0.000000
 1410.0   -0.000000   0.000001
 1415.0   -0.000000   0.000001
 1420.0   -0.000000   0.000001
 1425.0   -0.000000   0.000001
 1430.0   -0.000000   0.000001
 1435.0   -0.000002  -0.000000
 1440.0   -0.000000   0.000001
 1445.0   -0.000000   0.000001
 1450.0   -0.000000   0.000001
 1455.0   -0.000000   0.000001
 1460.0   -0.000000   0.000001
 1465.0   -0.000000   0.000002
 1470.0   -0.000000   0.000002
 1475.0   -0.000000   0.000002
 1480.0   -0.000000   0.000002
 1485.0   -0.000000   0.000002
 1490.0   -0.000001   0.000002
 1495.0   -0.000001   0.000003
 1500.0   -0.000001   0.000003
 1505.0   -0.000000   0.000003
 1510.0   -0.000001   0.000003
 1515.0   -0.000001   0.000003
 1520.0   -0.000001   0.000004
 1525.0   -0.000001   0.000004
 1530.0   -0.000001   0.000004
 1535.0   -0.000001   0.000005
 1540.0   -0.000001   0.000005
 1545.0   -0.000001   0.000005
 1550.0   -0.000001   0.000006
 1555.0   -0.000001   0.000006
 1560.0   -0.000001   0.000006
 1565.0   -0.000001   0.000007
 1570.0   -0.000002   0.000007
 1575.0   -0.000002   0.000008
 1580.0   -0.000002   0.000008
 1585.0   -0.000002   0.000008
 1590.0   -0.000002   0.000009
 1595.0   -0.000002   0.000010
 1600.0   -0.000002   0.000010
 1605.0   -0.000003   0.000010
 1610.0   -0.000003   0.000011
 1615.0   -0.000003   0.000012
 1620.0   -0.000003   0.000012
 1625.0   -0.000003   0.000013
 1630.0   -0.000003   0.000014
 1635.0   -0.000004   0.000014
 1640.0   -0.000004   0.000015
 1645.0   -0.000004   0.000016
 1650.0   -0.000004   0.000017
 1655.0   -0.000004   0.000017
 1660.0   -0.000005   0.000018
 1665.0   -0.000005   0.000019
 1670.0   -0.000005   0.000020
 1675.0   -0.000006   0.000021
 1680.0   -0.000006   0.000022
 1685.0   -0.000006   0.000023
 1690.0   -0.000006   0.000024
 1695.0   -0.000007   0.000025
 1700.0   -0.000007   0.000026
 1705.0   -0.000008   0.000027
 1710.0   -0.000008   0.000028
 1715.0   -0.000008   0.000029
 1720.0   -0.000009   0.000030
 1725.0   -0.000009   0.000031
 1730.0   -0.000010   0.000033
 1735.0   -0.000010   0.000034
 1740.0   -0.000011   0.000035
 1745.0   -0.000011   0.000037
 1750.0   -0.000012   0.000038
 1755.0   -0.000012   0.000039
 1760.0   -0.000013   0.000041
 1765.0   -0.000013   0.000042
 1770.0   -0.000014   0.000043
 1775.0   -0.000015   0.000045
 1780.0   -0.000015   0.000046
 1785.0   -0.000016   0.000048
 1790.0   -0.000017   0.000049
 1795.0   -0.000018   0.000051
 1800.0   -0.000018   0.000053
 1805.0   -0.000019   0.000054
 1810.0   -0.000020   0.000056
 1815.0   -0.000021   0.000057
 1820.0   -0.000022   0.000059
 1825.0   -0.000023   0.000061
 1830.0   -0.000024   0.000063
 1835.0   -0.000025   0.000064
 1840.0   -0.000026   0.000066
 1845.0   -0.000027   0.000068
 1850.0   -0.000028   0.000070
 1855.0   -0.000029   0.000071
 1860.0   -0.000030   0.000073
 1865.0   -0.000032   0.000075
 1870.0   -0.000033   0.000077
 1875.0   -0.000034   0.000078
 1880.0   -0.000036   0.000080
 1885.0   -0.000037   0.000082
 1890.0   -0.000039   0.000084
 1895.0   -0.000040   0.000086
 1900.0   -0.000043   0.000091
 1905.0   -0.000044   0.000089
 1910.0   -0.000045   0.000091
 1915.0   -0.000047   0.000093
 1920.0   -0.000049   0.000095
 1925.0   -0.000051   0.000096
 1930.0   -0.000053   0.000098
 1935.0   -0.000055   0.000100
 1940.0   -0.000057   0.000101
 1945.0   -0.000059   0.000103
 1950.0   -0.000061   0.000105
 1955.0   -0.000063   0.000106
 1960.0   -0.000066   0.000108
 1965.0   -0.000068   0.000109
 1970.0   -0.000070   0.000111
 1975.0   -0.000073   0.000112
 1980.0   -0.000075   0.000113
 1985.0   -0.000078   0.000115
 1990.0   -0.000081   0.000116
 1995.0   -0.000084   0.000117
 2000.0   -0.000086   0.000118
 2005.0   -0.000089   0.000120
